,date,open,high,low,close,volume,average,barCount,rsi,sma,smal,ema,bb_h,bb_l,bb_m,pos_rsi,pnl_rsi,capital,strategy,pos_bb,pnl_bb,cum_rsi,cum_bb
72,2018-06-13,279.17,279.48,277.8,278.03,506345,278.7745,208997,62.7605549354548,271.90266666666673,270.8518000000002,274.41550148850206,279.72206058122447,268.286939418775,274.0044999999997,0.0,0.0,99998.63000000002,bb,-367.0,-51.380000000015855,0.0,-1.3700000000055752
73,2018-06-14,279.01,279.33,278.05,278.73,447774,278.7235,183370,62.39524717402753,272.3776666666667,270.8402000000002,274.8530727753114,280.349439411454,268.4495605885455,274.39949999999976,0.0,-0.0,100057.35000000003,bb,-367.0,58.72000000000918,0.0,57.350000000003604
74,2018-06-15,276.6,277.51,275.35,277.13,594944,276.5785,243084,57.12343538496807,272.8556666666667,270.7788000000002,275.01944679671027,280.54378031816924,268.7212196818304,274.6324999999998,0.0,-0.0,100941.82000000002,bb,-367.0,884.4699999999883,0.0,941.819999999992
75,2018-06-18,275.49,276.7,274.95,276.56,372403,276.0535,166963,54.875572669554835,273.32266666666675,270.6938000000002,275.06426138749976,280.58147530617373,269.07052469382586,274.8259999999998,0.0,-0.0,101349.19000000003,bb,-367.0,407.370000000005,0.0,1349.1899999999969
76,2018-06-19,274.0,275.75,273.53,275.5,601685,274.7135,266416,51.98506742362445,273.5593333333334,270.5922000000002,274.9629031601188,280.58384690498,269.1711530950195,274.87749999999977,0.0,-0.0,101896.02000000003,bb,0.0,546.8300000000033,0.0,1896.0200000000002
77,2018-06-20,276.27,276.72,275.59,275.97,350089,276.1645,159877,55.725043491634295,273.8850000000001,270.5122000000002,275.0873885734408,280.7138814006214,269.27211859937825,274.9929999999998,0.0,0.0,101896.02000000003,bb,0.0,0.0,0.0,1896.0200000000002
78,2018-06-21,275.96,275.98,273.68,274.24,527420,274.5995,231864,55.10799493469668,274.16100000000006,270.4121000000002,275.17049442358933,280.6890343594279,269.7749656405717,275.2319999999998,0.0,-0.0,101896.02000000003,bb,0.0,-0.0,0.0,1896.0200000000002
79,2018-06-22,275.66,275.79,274.49,274.74,386994,275.212,174888,54.493316298479975,274.338,270.3426000000002,275.21711400229515,280.7235976506155,270.0144023493841,275.3689999999998,0.0,-0.0,101896.02000000003,bb,0.0,-0.0,0.0,1896.0200000000002
80,2018-06-25,273.44,273.62,269.1,271.0,981200,270.934,406478,50.13717938251505,274.38066666666674,270.24980000000016,275.0478650496956,280.6632621803898,270.2007378196097,275.43199999999973,0.0,-0.0,101896.02000000003,bb,0.0,-0.0,0.0,1896.0200000000002
81,2018-06-26,271.64,272.56,270.79,271.6,552277,271.764,243879,46.9349629100327,274.324,270.1558000000001,274.72330647353414,280.4962285840647,270.5007714159348,275.49849999999975,0.0,-0.0,101896.02000000003,bb,0.0,-0.0,0.0,1896.0200000000002
